ID;GENERO;RENTA;EDAD;NIV_EDUC;E_CIVIL;COD_OFI;COD_COM;CIUDAD;COL_1;COL_2;COL_3;COL_4;D_ACTUAL;D_MES_ANT;PROM_DEUDA;M_MOROSO;MONTO;SEGURO;OFERTA;
749;F       ;59.900;39;TEC     ;SOL     ;140;80;SANTIAGO        ;0;0;0;0;113;0;0;1;2.400.000;SI;NO ACEPTA;
750;M       ;4.500.000;41;MED     ;CAS     ;80;93;SANTIAGO        ;0;1.422.425;0;0;1;34.134;449;1;6.200.000;NO;ACEPTA;
751;M       ;1.200.000;36;UNV     ;CAS     ;64;314;COYHAIQUE       ;0;825.000;0;53.743;1.857;0;12.755;2;4.200.000;NO;NO ACEPTA;
752;F       ;1.000.000;58;TEC     ;CAS     ;12;13;CALAMA          ;0;441.886;0;195.697;104;0;0;1;4.600.000;NO;NO ACEPTA;
753;M       ;494.000;47;MED     ;CAS     ;138;1;ARICA           ;0;447.361;0;0;157;2.857;0;1;1.600.000;NO;ACEPTA;
754;M       ;633.000;35;TEC     ;CAS     ;39;84;SANTIAGO        ;0;73.360;0;0;251;0;0;1;2.300.000;NO;NO ACEPTA;
755;M       ;550.000;50;MED     ;CAS     ;138;1;ARICA           ;0;62.411;0;410.608;202;0;430;1;2.000.000;NO;ACEPTA;
756;M       ;1.560.000;46;UNV     ;CAS     ;138;1;ARICA           ;3.059.772;382.440;0;370.308;3.278;26.611;17.768;2;6.000.000;NO;ACEPTA;
757;F       ;1.600.000;42;UNV     ;CAS     ;138;1;ARICA           ;868.598;1.000.000;0;918.971;4.082;0;14.788;2;5.600.000;SI;ACEPTA;
758;M       ;473.000;29;UNV     ;SOL     ;102;100;SANTIAGO        ;499.803;217.864;0;0;709;0;0;1;1.200.000;NO;ACEPTA;
759;M       ;1.343.000;55;UNV     ;CAS     ;31;119;SANTIAGO        ;1.196.184;163.114;0;500.000;2.283;0;510;1;4.500.000;SI;ACEPTA;
760;M       ;1.200.000;40;TEC     ;CAS     ;30;98;SANTIAGO        ;1.807.305;2.300.000;0;617.552;2.654;0;699;3;1.900.000;NO;NO ACEPTA;
761;F       ;53.500;50;MED     ;SOL     ;139;85;SANTIAGO        ;0;3.000.000;0;0;0;50.920;0;0;8.000.000;SI;NO ACEPTA;
762;F       ;486.000;29;TEC     ;SOL     ;16;91;SANTIAGO        ;0;15.132;0;140.691;207;0;87;1;1.800.000;NO;NO ACEPTA;
763;M       ;50.000;45;MED     ;CAS     ;55;90;SANTIAGO        ;0;540.021;0;0;10;2.010;0;1;6.000.000;NO;ACEPTA;
764;M       ;1.070.000;50;MED     ;CAS     ;138;1;ARICA           ;0;500.000;0;0;2.840;0;152;3;2.600.000;NO;ACEPTA;
765;M       ;2.453.000;32;TEC     ;CAS     ;90;80;SANTIAGO        ;0;800.000;0;170.050;0;0;63.063;0;8.000.000;NO;NO ACEPTA;
766;M       ;1.000.000;48;MED     ;CAS     ;37;104;SANTIAGO        ;2.606.226;0;0;2.409.187;2.955;0;2.392;1;2.100.000;NO;ACEPTA;
767;M       ;634.000;54;TEC     ;CAS     ;25;106;SANTIAGO        ;0;500.000;0;1.099.438;1.573;0;2.040;1;1.000.000;NO;ACEPTA;
768;M       ;750.000;41;TEC     ;SOL     ;138;1;ARICA           ;0;459.827;0;0;322;2.564;0;1;3.300.000;NO;ACEPTA;
769;M       ;700.000;53;UNV     ;CAS     ;27;226;CONCEPCION      ;47.222;491.393;0;612.446;269;0;280;1;2.300.000;NO;ACEPTA;
770;M       ;1.100.000;40;MED     ;CAS     ;27;226;CONCEPCION      ;0;489.829;0;0;10;0;0;1;5.100.000;NO;ACEPTA;
