ID;GENERO;RENTA;EDAD;NIV_EDUC;E_CIVIL;COD_OFI;COD_COM;CIUDAD;COL_1;COL_2;COL_3;COL_4;D_ACTUAL;D_MES_ANT;PROM_DEUDA;M_MOROSO;MONTO;SEGURO;OFERTA;
925;F       ;558000;52;UNV     ;SOL     ;57;112;SANTIAGO        ;0;590445;0;116311;645;14683;0;2;1600000;NO;ACEPTA;
926;M       ;761000;45;UNV     ;SOL     ;31;119;SANTIAGO        ;0;8274;0;364636;422;0;303;2;3400000;NO;ACEPTA;
927;M       ;600000;46;UNV     ;CAS     ;31;119;SANTIAGO        ;1149869;190445;0;325378;1183;9443;0;1;1100000;SI;ACEPTA;
928;F       ;8350000;37;TEC     ;SOL     ;104;80;SANTIAGO        ;0;500000;0;0;0;0;134;0;1300000;NO;NO ACEPTA;
929;M       ;770000;44;MED     ;CAS     ;29;89;SANTIAGO        ;370509;626321;0;0;3040;8565;0;2;900000;NO;NO ACEPTA;
930;F       ;1250000;30;MED     ;SOL     ;63;300;CASTRO          ;0;799000;0;0;147;0;0;1;5500000;NO;NO ACEPTA;
931;M       ;1100000;41;MED     ;SEP     ;151;226;CONCEPCION      ;0;500000;0;0;1437;15143;17796;1;4100000;NO;NO ACEPTA;
932;M       ;1800000;40;UNV     ;CAS     ;53;92;SANTIAGO        ;0;224911;0;16506;3189;29030;786;2;7700000;NO;ACEPTA;
933;M       ;2077000;53;UNV     ;SOL     ;138;1;ARICA           ;3044137;1942998;0;1303349;4094;0;0;1;7500000;NO;ACEPTA;
934;M       ;6020000;40;MED     ;CAS     ;22;89;SANTIAGO        ;1456899;0;0;835;2023;14165;245;2;700000;NO;ACEPTA;
935;F       ;640000;48;UNV     ;CAS     ;31;119;SANTIAGO        ;0;2192;0;423892;1810;0;23521;2;750000;NO;ACEPTA;
936;F       ;600000;50;UNV     ;SOL     ;138;1;ARICA           ;0;12495;0;426594;200;24303;452;1;2200000;NO;ACEPTA;
937;M       ;80000;50;MED     ;CAS     ;37;115;SANTIAGO        ;0;0;0;412075;0;0;813;1;2600000;NO;ACEPTA;
938;F       ;750000;49;UNV     ;CAS     ;138;1;ARICA           ;0;519917;0;291628;0;0;301;1;3300000;NO;ACEPTA;
939;M       ;7500000;40;UNV     ;CAS     ;55;90;SANTIAGO        ;602727;24226;0;0;1977;0;0;2;3000000;NO;ACEPTA;
940;M       ;690000;59;UNV     ;SOL     ;86;49;LOS ANDES       ;997565;0;0;0;1186;0;0;1;1600000;NO;NO ACEPTA;
941;M       ;1898000;40;TEC     ;CAS     ;27;226;CONCEPCION      ;4026312;0;0;370468;5598;7337;378;2;5800000;SI;ACEPTA;
942;M       ;600000;44;UNV     ;CAS     ;10;5;IQUIQUE         ;0;600000;0;0;15;0;0;1;1800000;NO;NO ACEPTA;
943;M       ;800000;38;UNV     ;CAS     ;14;22;COPIAPO         ;0;0;0;690464;0;0;705;0;4000000;SI;NO ACEPTA;
944;M       ;5620000;40;MED     ;CAS     ;55;90;SANTIAGO        ;1398357;394245;0;400000;1557;0;409;1;2800000;SI;ACEPTA;
945;M       ;68500;41;UNV     ;CAS     ;55;90;SANTIAGO        ;0;650000;0;180596;28;0;3840;1;4200000;NO;ACEPTA;
946;F       ;600000;51;UNV     ;CAS     ;138;1;ARICA           ;0;13476;0;0;279;0;0;1;2200000;NO;ACEPTA;
947;M       ;1500000;46;MED     ;CAS     ;19;115;SANTIAGO        ;0;2833748;0;0;881;0;4;2;4700000;NO;ACEPTA;
948;M       ;550000;49;UNV     ;SOL     ;138;1;ARICA           ;0;403159;0;2000000;774;0;3882;2;1500000;NO;ACEPTA;
949;M       ;510000;48;UNV     ;CAS     ;149;105;SANTIAGO        ;0;343899;0;0;6;0;0;1;1700000;NO;NO ACEPTA;
950;M       ;680000;29;MED     ;SOL     ;153;298;LLANQUIHUE      ;0;1150000;0;235251;0;0;269;0;1600000;NO;NO ACEPTA;
951;M       ;1306000;32;TEC     ;SOL     ;17;106;SANTIAGO        ;0;24627;0;1000000;421;56185;2585;1;6200000;NO;NO ACEPTA;
952;M       ;950000;35;TEC     ;CAS     ;90;105;SANTIAGO        ;87440;1955363;0;472340;203;18814;496;1;2800000;SI;NO ACEPTA;
953;M       ;900000;52;UNV     ;CAS     ;27;226;CONCEPCION      ;0;800000;0;800000;2120;0;2416;1;2400000;NO;ACEPTA;
